"Cust_ID","Recency","Frequency","monetary","RScore","FM_score"
12481,23,0.0291,4000.0,4,4.0
12483,18,0.0248,1952.0,4,4.0
12484,36,0.0132,3319.0,3,3.0
12488,10,0.0448,1100.0,5,4.0
12489,337,1.0,205.0,1,3.0
12490,6,0.0308,4935.0,5,4.0
12491,39,1.0,432.0,3,4.0
12492,64,0.0465,203.0,3,2.0
12493,166,0.0606,401.0,2,3.0
12494,16,0.0199,968.0,4,3.0
12497,82,1.0,552.0,2,4.0
12498,22,0.0811,377.0,4,3.0
12500,24,0.0354,3276.0,4,4.0
12501,337,1.0,1630.0,1,4.0
12502,96,0.0233,1952.0,2,4.0
12504,31,1.0,48.0,4,3.0
12506,233,1.0,73.0,1,3.0
12507,135,0.0182,1048.0,2,3.0
12508,27,0.5,399.0,4,3.0
12509,285,1.0,130.0,1,3.0
12510,143,0.0109,795.0,2,2.0
12512,67,2.0,135.0,3,3.0
12513,113,1.0,522.0,2,4.0
12514,268,1.0,878.0,1,4.0
12515,354,1.0,216.0,1,3.0
12516,78,0.0192,1258.0,2,3.0
12517,29,0.0245,2354.0,4,4.0
12518,1,0.045,1689.0,5,4.0
12519,64,1.0,280.0,3,3.0
12520,80,0.0256,1979.0,2,4.0
12521,143,1.0,499.0,2,4.0
12522,40,0.1538,164.0,3,3.0
12523,20,0.0351,1249.0,4,4.0
12524,10,0.0246,3373.0,5,4.0
12526,1,0.0316,1112.0,5,4.0
12527,82,0.0122,295.0,2,2.0
12528,10,0.0197,1164.0,5,3.0
12530,60,0.0144,1293.0,3,3.0
12531,15,1.0,95.0,4,3.0
12532,31,1.0,299.0,4,3.0
12534,131,1.0,879.0,2,4.0
12535,92,0.0208,617.0,2,3.0
12536,60,1.0,3629.0,3,5.0
12538,30,1.0,285.0,4,3.0
12539,23,0.0128,4320.0,4,3.0
12540,20,0.0496,8920.0,4,4.0
12541,30,0.0119,834.0,4,3.0
12544,37,1.0,314.0,3,3.0
12545,76,0.0108,668.0,2,2.0
12546,47,0.0625,992.0,3,4.0
12547,198,0.0238,156.0,1,2.0
12548,167,1.0,48.0,2,3.0
12550,80,1.0,723.0,2,4.0
12551,358,1.0,170.0,1,3.0
12552,40,1.0,190.0,3,3.0
12553,9,0.0311,3197.0,5,4.0
12556,51,0.0196,539.0,3,3.0
12557,17,0.014,11598.0,4,3.0
12558,8,1.0,248.0,5,3.0
12559,311,0.2,467.0,1,4.0
12560,6,0.0144,1834.0,5,3.0
12561,303,1.0,199.0,1,3.0
12562,9,0.0366,3203.0,5,4.0
12564,262,1.0,368.0,1,3.0
12565,289,1.0,148.0,1,3.0
12566,87,1.0,173.0,2,3.0
12567,23,0.0287,7542.0,4,4.0
12569,3,0.1116,2597.0,5,5.0
12571,40,0.0241,581.0,3,3.0
12572,9,0.0455,704.0,5,3.0
12573,228,1.0,150.0,1,3.0
12574,316,1.0,165.0,1,3.0
12576,36,0.0185,1175.0,3,3.0
12577,36,0.0092,555.0,3,2.0
12578,22,0.0065,2334.0,4,3.0
12579,79,1.0,322.0,2,3.0
12580,247,1.0,416.0,1,4.0
12581,40,1.0,158.0,3,3.0
12582,239,0.0392,338.0,1,3.0
12583,3,0.0403,6857.0,5,4.0
12584,4,0.0288,1519.0,5,3.0
12585,235,0.0169,1554.0,1,3.0
12586,18,1.0,180.0,4,3.0
12587,8,1.0,100.0,5,3.0
12588,40,1.0,83.0,3,3.0
12589,29,0.0171,368.0,4,2.0
12590,212,1.0,9736.0,1,5.0
12591,318,1.0,348.0,1,3.0
12592,93,0.0164,466.0,2,2.0
12593,109,0.027,428.0,2,3.0
12594,38,0.0315,3209.0,3,4.0
12596,52,0.0104,401.0,3,2.0
12597,20,0.016,2644.0,4,3.0
12598,10,0.0254,2799.0,5,4.0
12599,30,0.0254,906.0,4,3.0
12600,29,0.0291,2312.0,4,4.0
12601,190,0.0347,434.0,1,3.0
12602,59,1.0,98.0,3,3.0
12604,80,0.0109,270.0,2,2.0
12607,61,1.0,1450.0,3,4.0
12609,79,0.0124,882.0,2,3.0
12610,23,0.0381,1523.0,4,4.0
12611,53,1.0,1098.0,3,4.0
12612,75,1.0,662.0,2,4.0
12613,58,0.0194,3000.0,3,4.0
12614,278,1.0,273.0,1,3.0
12615,3,0.024,1935.0,5,4.0
12616,96,0.0099,572.0,2,2.0
12617,30,1.0,338.0,4,3.0
12618,22,1.0,122.0,4,3.0
12619,17,0.0336,3268.0,4,4.0
12620,15,0.0157,1098.0,4,3.0
12621,2,0.0548,11550.0,5,4.0
12622,233,1.0,135.0,1,3.0
12623,277,1.0,278.0,1,3.0
12624,107,0.0278,583.0,2,3.0
12625,212,0.0183,1894.0,1,4.0
12626,24,0.0296,5233.0,4,4.0
12627,11,0.0458,3985.0,5,4.0
12628,5,0.0492,666.0,5,3.0
12630,10,0.0571,879.0,5,4.0
12631,58,1.0,448.0,3,4.0
12633,59,0.0174,1865.0,3,3.0
12635,90,0.0303,1439.0,2,3.0
12637,68,0.0311,5757.0,3,4.0
12638,34,1.0,467.0,3,4.0
12639,239,1.0,342.0,1,3.0
12640,24,0.0508,668.0,4,3.0
12641,116,1.0,152.0,2,3.0
12642,26,0.0361,845.0,4,4.0
12643,129,0.0293,2902.0,2,4.0
12644,130,1.0,436.0,2,4.0
12645,34,0.0141,1774.0,3,3.0
12646,5,0.0435,1274.0,5,4.0
12647,23,0.0345,2675.0,4,4.0
12648,155,1.0,260.0,2,3.0
12649,108,0.0283,523.0,2,3.0
12650,4,1.0,190.0,5,3.0
12651,335,1.0,123.0,1,3.0
12652,332,1.0,748.0,1,4.0
12653,149,0.0134,1671.0,2,3.0
12654,11,0.0175,525.0,5,2.0
12656,18,0.023,3564.0,4,4.0
12657,12,0.0441,698.0,5,3.0
12658,19,1.0,564.0,4,4.0
12659,30,1.0,56.0,4,3.0
12660,12,1.0,252.0,5,3.0
12662,1,0.0294,3440.0,5,4.0
12664,9,0.0286,4530.0,5,4.0
12665,325,1.0,36.0,1,3.0
12667,59,1.0,439.0,3,4.0
12668,12,0.0116,2940.0,5,3.0
12669,151,0.0187,1387.0,2,3.0
12670,11,0.0224,2935.0,5,4.0
12672,330,1.0,231.0,1,3.0
12673,6,0.0062,560.0,5,2.0
12674,39,0.0235,1558.0,3,3.0
12676,25,0.0208,1013.0,4,3.0
12678,43,0.0288,17395.0,3,4.0
12679,59,0.0177,862.0,3,3.0
12680,1,0.0351,739.0,5,3.0
12681,15,0.0621,11879.0,4,4.0
12682,4,0.084,11175.0,5,4.0
12683,5,0.0387,6667.0,5,4.0
12684,8,0.029,2159.0,5,4.0
12685,29,0.0909,2438.0,4,4.0
12686,372,1.0,34.0,1,3.0
12688,114,1.0,4158.0,2,5.0
12689,26,0.0194,1037.0,4,3.0
12690,206,1.0,279.0,1,3.0
12691,29,0.0152,992.0,4,3.0
12693,128,0.0207,601.0,2,3.0
12694,71,0.0175,538.0,3,2.0
12695,8,0.0196,557.0,5,3.0
12697,29,0.0211,779.0,4,3.0
12700,8,0.0191,4322.0,5,4.0
12701,80,0.0122,687.0,2,2.0
12702,20,1.0,199.0,4,3.0
12703,72,1.0,271.0,3,3.0
12704,8,0.0491,1611.0,5,4.0
12705,16,0.0233,5848.0,4,4.0
12707,292,1.0,419.0,1,4.0
12708,30,0.0294,2070.0,4,4.0
12709,16,0.0426,6822.0,4,4.0
12710,97,0.0283,994.0,2,3.0
12712,29,0.0378,3426.0,4,4.0
12713,1,1.0,643.0,5,4.0
12714,10,0.0175,4108.0,5,3.0
12715,107,1.0,268.0,2,3.0
12716,4,0.0153,977.0,5,3.0
12717,152,0.0211,728.0,2,3.0
12718,72,1.0,120.0,3,3.0
12719,6,0.0328,546.0,5,3.0
12720,3,0.0679,4396.0,5,4.0
12721,32,0.0185,2042.0,4,4.0
12722,86,0.0455,776.0,2,3.0
12723,4,0.0635,532.0,5,3.0
12724,6,0.0122,960.0,5,3.0
12725,372,1.0,358.0,1,3.0
12726,29,0.0212,2148.0,4,4.0
12727,11,0.0225,3266.0,5,4.0
12728,72,0.0153,689.0,3,2.0
12729,114,1.0,355.0,2,3.0
12731,24,0.0351,15527.0,4,4.0
12732,180,1.0,218.0,1,3.0
12733,235,1.0,306.0,1,3.0
12734,353,1.0,96.0,1,3.0
12735,316,0.087,393.0,1,3.0
12736,333,1.0,96.0,1,3.0
12738,373,1.0,156.0,1,3.0
12739,100,1.0,514.0,2,4.0
12740,64,1.0,488.0,3,4.0
12743,135,2.0,387.0,2,4.0
12744,57,0.0152,8289.0,3,3.0
12747,3,0.0299,4077.0,5,4.0
12748,1,0.5455,37696.0,5,5.0
12749,4,0.0237,2917.0,5,4.0
12750,129,1.0,176.0,2,3.0
12752,82,1.0,3944.0,2,5.0
12753,23,0.0176,19030.0,4,4.0
12754,236,0.0405,1299.0,1,4.0
12755,281,0.0233,4472.0,1,4.0
12756,87,1.0,120.0,2,3.0
12757,16,0.0406,4135.0,4,4.0
12758,117,0.0124,2695.0,2,3.0
12759,53,0.0134,1291.0,3,3.0
12762,8,0.1053,1802.0,5,4.0
12763,139,0.0086,412.0,2,2.0
12764,317,1.0,1009.0,1,4.0
12766,4,0.0192,6173.0,5,4.0
12769,239,1.0,988.0,1,4.0
12770,211,1.0,1404.0,1,4.0
12772,60,1.0,580.0,3,4.0
12775,18,0.0169,1192.0,4,3.0
12778,20,0.0204,685.0,4,3.0
12779,38,0.0239,2927.0,3,4.0
12781,64,0.009,786.0,3,2.0
12782,5,0.0141,1832.0,5,3.0
12783,3,0.0541,1167.0,5,4.0
12784,16,1.0,479.0,4,4.0
12785,365,1.0,252.0,1,3.0
12787,10,0.0163,404.0,5,2.0
12790,193,1.0,172.0,1,3.0
12791,374,1.0,192.0,1,3.0
12792,257,1.0,303.0,1,3.0
12793,335,0.0526,510.0,1,3.0
12794,54,0.0435,780.0,3,3.0
12795,19,1.0,201.0,4,3.0
12797,366,1.0,187.0,1,3.0
12798,11,0.0186,7536.0,5,4.0
12802,187,1.0,410.0,1,3.0
12808,37,0.009,456.0,3,2.0
12809,178,1.0,361.0,2,3.0
12811,262,0.0833,466.0,1,3.0
12812,45,1.0,260.0,3,3.0
12814,102,1.0,96.0,2,3.0
12815,148,0.0385,718.0,2,3.0
12816,96,0.0244,367.0,2,2.0
12817,282,1.0,140.0,1,3.0
12818,262,1.0,840.0,1,4.0
12820,4,0.0123,918.0,5,3.0
12821,215,1.0,88.0,1,3.0
12822,71,0.1111,954.0,3,4.0
12823,75,0.0224,1840.0,2,4.0
12824,60,1.0,404.0,3,3.0
12826,3,0.0192,1442.0,5,3.0
12827,6,0.075,419.0,5,3.0
12828,3,0.0465,893.0,5,4.0
12829,337,0.08,62.0,1,2.0
12830,38,0.0444,6304.0,3,4.0
12831,263,1.0,201.0,1,3.0
12832,33,0.0299,373.0,4,2.0
12833,146,1.0,335.0,2,3.0
12834,283,1.0,316.0,1,3.0
12836,60,0.0158,1803.0,3,3.0
12837,174,1.0,77.0,2,3.0
12838,34,0.0059,604.0,3,2.0
12839,3,0.0383,5368.0,5,4.0
12840,144,0.0476,3057.0,2,4.0
12841,5,0.0679,3758.0,5,4.0
12842,71,0.0084,1011.0,3,3.0
12843,160,0.066,1512.0,2,4.0
12844,30,0.0196,326.0,4,2.0
12845,268,0.1667,264.0,1,3.0
12847,23,1.0,753.0,4,4.0
12849,32,0.0084,850.0,4,3.0
12851,97,1.0,94.0,2,3.0
12852,295,1.0,245.0,1,3.0
12853,135,0.033,1648.0,2,4.0
12854,79,0.0124,1265.0,2,3.0
12855,373,1.0,42.0,1,3.0
12856,8,0.1053,2022.0,5,5.0
12857,211,0.0215,830.0,1,3.0
12863,53,1.0,196.0,3,3.0
12864,139,1.0,156.0,2,3.0
12865,27,0.0204,1302.0,4,3.0
12866,284,1.0,380.0,1,3.0
12867,27,0.0209,3431.0,4,4.0
12868,186,0.0317,1449.0,1,4.0
12871,85,0.0161,418.0,2,2.0
12872,327,0.05,553.0,1,3.0
12873,283,1.0,360.0,1,3.0
12875,144,0.0091,0.0,2,1.0
12876,58,0.0143,2418.0,3,3.0
12877,4,0.0337,1371.0,5,4.0
12878,237,0.0645,816.0,1,3.0
12879,45,0.0625,610.0,3,3.0
12881,276,1.0,66.0,1,3.0
12882,10,0.08,1428.0,5,4.0
12883,25,0.0606,593.0,4,3.0
12884,89,1.0,138.0,2,3.0
12885,64,0.0492,1044.0,3,4.0
12886,68,0.0131,1146.0,3,3.0
12888,215,0.0476,168.0,1,2.0
12890,25,1.0,363.0,4,3.0
12891,186,0.0278,0.0,1,2.0
12893,31,1.0,194.0,4,3.0
12895,43,0.0444,327.0,3,3.0
12897,205,0.0204,182.0,1,2.0
12901,9,0.1065,14848.0,5,5.0
12902,265,1.0,74.0,1,3.0
12904,19,0.0129,401.0,4,2.0
12906,12,0.0735,2858.0,5,4.0
12908,177,0.0146,1200.0,2,3.0
12909,40,0.0233,1269.0,3,3.0
12910,24,0.0365,3016.0,4,4.0
12912,3,0.1282,1724.0,5,4.0
12913,5,0.0137,2330.0,5,3.0
12915,149,0.0089,225.0,2,2.0
12916,139,0.0219,2569.0,2,4.0
12917,129,1.0,600.0,2,4.0
12919,9,0.037,1319.0,5,4.0
12920,18,1.0,92.0,4,3.0
12921,10,0.1014,16827.0,5,5.0
12922,162,1.0,424.0,2,4.0
12923,65,1.0,161.0,3,3.0
12924,89,0.0167,896.0,2,3.0
12925,5,0.0282,607.0,5,3.0
12928,36,0.0154,2066.0,3,3.0
12929,312,1.0,75.0,1,3.0
12930,79,0.0213,414.0,2,3.0
12931,22,0.0445,42190.0,4,4.0
12933,25,0.0115,541.0,4,2.0
12935,3,0.022,1922.0,5,4.0
12936,18,0.0645,1033.0,4,4.0
12937,16,0.0158,1448.0,4,3.0
12938,26,1.0,106.0,4,3.0
12939,65,0.0295,10976.0,3,4.0
12940,55,0.0588,640.0,3,3.0
12942,132,0.0128,522.0,2,2.0
12944,36,0.0063,529.0,3,2.0
12945,289,1.0,326.0,1,3.0
12947,144,0.026,1265.0,2,3.0
12948,17,0.0281,1956.0,4,4.0
12949,31,0.0359,3849.0,4,4.0
12950,3,0.1304,2120.0,5,5.0
12951,9,0.0186,975.0,5,3.0
12952,6,0.0541,1225.0,5,4.0
12953,10,1.0,278.0,5,3.0
12955,2,0.0412,4642.0,5,4.0
12956,307,1.0,87.0,1,3.0
12957,10,0.0242,3599.0,5,4.0
12962,8,0.0187,252.0,5,2.0
12963,9,0.0223,1728.0,5,3.0
12965,90,1.0,656.0,2,4.0
12966,10,1.0,138.0,5,3.0
12967,359,0.1429,1282.0,1,4.0
12968,113,1.0,120.0,2,3.0
12970,8,0.0127,349.0,5,2.0
12971,4,0.2324,10123.0,5,5.0
12974,198,1.0,126.0,1,3.0
12976,212,1.0,578.0,1,4.0
12977,157,1.0,6.0,2,3.0
12980,177,0.0383,2256.0,2,4.0
12981,30,0.019,382.0,4,2.0
12982,243,1.0,300.0,1,3.0
12984,19,1.0,102.0,4,3.0
12985,1,0.069,1032.0,5,4.0
12987,74,0.016,403.0,2,2.0
12988,293,1.0,342.0,1,3.0
12989,4,0.0414,5764.0,5,4.0
12990,32,0.0107,400.0,4,2.0
12991,24,0.0222,524.0,4,3.0
12993,24,0.0145,437.0,4,2.0
12994,5,0.0113,812.0,5,2.0
12995,86,1.0,216.0,2,3.0
12997,23,0.0135,1029.0,4,3.0
12999,206,0.0488,324.0,1,3.0
13000,107,0.0116,508.0,2,2.0
13001,5,0.0402,9822.0,5,4.0
13002,319,1.0,84.0,1,3.0
13003,106,0.0273,130.0,2,2.0
13004,12,0.0519,5251.0,5,4.0
13005,174,0.027,329.0,2,2.0
13006,57,1.0,32.0,3,3.0
13008,324,1.0,183.0,1,3.0
13011,373,1.0,52.0,1,3.0
13012,10,0.028,1463.0,5,3.0
13013,2,0.035,4448.0,5,4.0
13014,11,0.0331,1859.0,5,4.0
13015,54,0.0254,2787.0,3,4.0
13016,74,0.0588,778.0,2,3.0
13017,8,1.0,192.0,5,3.0
13018,17,0.1,6586.0,4,5.0
13021,5,0.0254,2326.0,5,4.0
13023,65,0.0303,569.0,3,3.0
13026,2,0.0182,792.0,5,3.0
13027,114,0.0248,0.0,2,2.0
13028,23,0.0833,536.0,4,3.0
13029,31,0.0183,124.0,4,2.0
13030,12,0.0056,575.0,5,2.0
13032,53,0.0556,967.0,3,4.0
13033,358,1.0,192.0,1,3.0
13034,55,0.0063,620.0,3,2.0
13035,74,0.0106,940.0,2,3.0
13037,139,0.0252,780.0,2,3.0
13038,81,0.0142,862.0,2,3.0
13040,9,0.0769,648.0,5,3.0
13043,274,1.0,346.0,1,3.0
13044,292,1.0,342.0,1,3.0
13045,100,1.0,288.0,2,3.0
13046,31,0.0084,457.0,4,2.0
13047,32,0.0292,2697.0,4,4.0
13048,15,0.0127,1909.0,4,3.0
13049,65,0.0078,648.0,3,2.0
13050,15,0.0482,4817.0,4,4.0
13052,213,1.0,332.0,1,3.0
13055,79,0.0221,1100.0,2,3.0
13058,25,0.0234,255.0,4,2.0
13059,250,1.0,88.0,1,3.0
13060,254,1.0,322.0,1,3.0
13061,73,1.0,262.0,2,3.0
13062,192,1.0,76.0,1,3.0
13064,13,0.0127,891.0,5,3.0
13065,374,1.0,147.0,1,3.0
13066,25,0.2222,344.0,4,3.0
13067,83,1.0,119.0,2,3.0
13068,11,0.0065,400.0,5,2.0
13069,1,0.0649,3403.0,5,4.0
13070,193,1.0,220.0,1,3.0
13072,267,1.0,165.0,1,3.0
13075,130,1.0,923.0,2,4.0
13077,2,0.0109,552.0,5,2.0
13078,4,0.0714,11694.0,5,4.0
13079,5,0.0365,216.0,5,3.0
13080,180,1.0,48.0,1,3.0
13081,12,0.0305,26039.0,5,4.0
13082,127,0.0376,3796.0,2,4.0
13083,5,0.0278,192.0,5,2.0
13085,158,0.0144,364.0,2,2.0
13089,3,0.2473,51146.0,5,5.0
13090,9,0.0356,4933.0,5,4.0
13091,29,1.0,284.0,4,3.0
13092,71,0.0172,264.0,3,2.0
13093,276,0.0808,6858.0,1,4.0
13094,22,0.0345,1788.0,4,4.0
13095,71,1.0,24.0,3,3.0
13097,33,0.0304,4252.0,4,4.0
13098,2,0.0883,26248.0,5,4.0
13099,100,1.0,288.0,2,3.0
13101,235,1.0,75.0,1,3.0
13102,2,0.0658,5963.0,5,4.0
13103,40,1.0,146.0,3,3.0
13104,4,0.017,1044.0,5,3.0
13106,134,1.0,72.0,2,3.0
13107,45,0.0138,1394.0,3,3.0
13108,373,1.0,250.0,1,3.0
13109,60,0.0202,741.0,3,3.0
13110,32,0.0249,1255.0,4,3.0
13113,1,0.0654,7047.0,5,4.0
13115,12,0.023,2232.0,5,4.0
13116,139,1.0,306.0,2,3.0
13117,22,0.0227,754.0,4,3.0
13118,20,0.0185,1092.0,4,3.0
13120,239,1.0,36.0,1,3.0
13121,270,1.0,289.0,1,3.0
13122,95,0.0136,815.0,2,2.0
13124,90,0.0111,3194.0,2,3.0
13126,5,0.022,1518.0,5,3.0
13127,78,1.0,259.0,2,3.0
13130,95,1.0,56.0,2,3.0
13131,24,0.0182,730.0,4,3.0
13132,262,1.0,66.0,1,3.0
13133,274,0.0625,76.0,1,2.0
13134,86,0.0256,1472.0,2,3.0
13135,197,1.0,4300.0,1,5.0
13136,57,0.0318,2467.0,3,4.0
13137,11,0.0268,3718.0,5,4.0
13138,23,0.0171,956.0,4,3.0
13139,17,0.0287,4911.0,4,4.0
13140,109,0.0116,390.0,2,2.0
13141,85,0.0216,2235.0,2,4.0
13142,20,1.0,207.0,4,3.0
13144,333,1.0,48.0,1,3.0
13145,40,0.0337,300.0,3,3.0
13146,27,1.0,142.0,4,3.0
13147,11,0.0444,720.0,5,3.0
13148,30,0.0327,2960.0,4,4.0
13149,15,0.0145,1382.0,4,3.0
13151,296,1.0,860.0,1,4.0
13153,6,1.0,434.0,5,4.0
13155,34,0.0119,848.0,3,3.0
13157,50,0.016,1680.0,3,3.0
13158,95,0.0178,1268.0,2,3.0
13159,9,0.037,1233.0,5,4.0
13160,23,1.0,70.0,4,3.0
13161,314,1.0,99.0,1,3.0
13162,123,0.0188,1490.0,2,3.0
13165,47,0.0065,748.0,3,2.0
13166,284,1.0,401.0,1,3.0
13167,19,0.0317,486.0,4,3.0
13168,37,0.0141,11152.0,3,3.0
13169,64,0.0105,380.0,3,2.0
13170,27,1.0,100.0,4,3.0
13171,22,0.0108,262.0,4,2.0
13173,5,0.0055,300.0,5,2.0
13174,17,0.0085,2236.0,4,3.0
13176,47,1.0,397.0,3,3.0
13177,65,1.0,284.0,3,3.0
13178,27,0.0328,5887.0,4,4.0
13182,46,1.0,52.0,3,3.0
13183,8,0.0274,4103.0,5,4.0
13184,15,0.0361,1520.0,4,4.0
13185,268,1.0,72.0,1,3.0
13186,40,0.0333,1518.0,3,4.0
13187,338,1.0,170.0,1,3.0
13188,12,1.0,96.0,5,3.0
13189,19,0.0204,64.0,4,2.0
13192,96,0.018,845.0,2,3.0
13193,62,1.0,102.0,3,3.0
13194,136,1.0,62.0,2,3.0
13196,12,0.0159,1480.0,5,3.0
13198,11,0.017,3093.0,5,3.0
13199,4,0.1016,8920.0,5,5.0
13200,20,0.037,736.0,4,3.0
13203,10,0.0171,694.0,5,2.0
13207,16,0.0147,246.0,4,2.0
13208,59,0.0238,11190.0,3,4.0
13209,31,0.0241,5223.0,4,4.0
13210,94,1.0,388.0,2,3.0
13211,11,0.0085,1231.0,5,3.0
13212,20,0.0698,545.0,4,3.0
13213,57,0.0347,1316.0,3,4.0
13216,268,1.0,402.0,1,3.0
13217,123,0.0857,490.0,2,3.0
13218,128,1.0,48.0,2,3.0
13220,79,0.0252,476.0,2,3.0
13221,241,0.0167,574.0,1,2.0
13223,201,0.0606,148.0,1,2.0
13224,61,0.0217,1949.0,3,4.0
13225,4,0.0195,6100.0,5,4.0
13226,274,1.0,77.0,1,3.0
13227,202,1.0,272.0,1,3.0
13228,82,1.0,400.0,2,3.0
13229,226,1.0,131.0,1,3.0
13230,5,0.0387,2229.0,5,4.0
13232,13,0.0302,940.0,5,3.0
13233,75,0.0076,372.0,2,2.0
13235,213,1.0,967.0,1,4.0
13236,25,0.0241,666.0,4,3.0
13238,18,0.0116,576.0,4,2.0
13239,262,1.0,210.0,1,3.0
13240,97,0.0148,613.0,2,2.0
13242,113,0.0294,260.0,2,2.0
13243,204,1.0,465.0,1,4.0
13244,93,1.0,98.0,2,3.0
13245,51,1.0,251.0,3,3.0
13246,19,0.0192,2051.0,4,4.0
13247,18,0.0606,560.0,4,3.0
13248,125,0.0303,397.0,2,2.0
13249,93,0.0176,596.0,2,3.0
13253,157,0.0109,700.0,2,2.0
13255,10,0.0055,290.0,5,2.0
13258,12,0.0154,696.0,5,2.0
13259,62,1.0,254.0,3,3.0
13260,62,1.0,250.0,3,3.0
13261,269,0.1111,858.0,1,4.0
