Cust_ID,Recency,Frequency,monetary,RScore,FM_score,rfm_segment
12705,16,0.0233,5848,4,4,Loyal Customers
12707,292,1,419,1,4,Cant Lose Them
12708,30,0.0294,2070,4,4,Loyal Customers
12709,16,0.0426,6822,4,4,Loyal Customers
12710,97,0.0283,994,2,3,Customers Needing Attention
12712,29,0.0378,3426,4,4,Loyal Customers
12713,1,1,643,5,4,Champions
12714,10,0.0175,4108,5,3,Loyal Customers
12715,107,1,268,2,3,Customers Needing Attention
12716,4,0.0153,977,5,3,Loyal Customers
12717,152,0.0211,728,2,3,Customers Needing Attention
12718,72,1,120,3,3,Potential Loyalists
12719,6,0.0328,546,5,3,Loyal Customers
12720,3,0.0679,4396,5,4,Champions
12721,32,0.0185,2042,4,4,Loyal Customers
12722,86,0.0455,776,2,3,Customers Needing Attention
12723,4,0.0635,532,5,3,Loyal Customers
12724,6,0.0122,960,5,3,Loyal Customers
12725,372,1,358,1,3,At Risk
12726,29,0.0212,2148,4,4,Loyal Customers
12727,11,0.0225,3266,5,4,Champions
12728,72,0.0153,689,3,2,Customers Needing Attention
12729,114,1,355,2,3,Customers Needing Attention
12731,24,0.0351,15527,4,4,Loyal Customers
12732,180,1,218,1,3,At Risk
12733,235,1,306,1,3,At Risk
12734,353,1,96,1,3,At Risk
12735,316,0.087,393,1,3,At Risk
12736,333,1,96,1,3,At Risk
12738,373,1,156,1,3,At Risk
12739,100,1,514,2,4,At Risk
12740,64,1,488,3,4,Loyal Customers
12743,135,2,387,2,4,At Risk
12744,57,0.0152,8289,3,3,Potential Loyalists
12747,3,0.0299,4077,5,4,Champions
12748,1,0.5455,37696,5,5,Champions
12749,4,0.0237,2917,5,4,Champions
12750,129,1,176,2,3,Customers Needing Attention
12752,82,1,3944,2,5,At Risk
12753,23,0.0176,19030,4,4,Loyal Customers
12754,236,0.0405,1299,1,4,Cant Lose Them
12755,281,0.0233,4472,1,4,Cant Lose Them
12756,87,1,120,2,3,Customers Needing Attention
12757,16,0.0406,4135,4,4,Loyal Customers
12758,117,0.0124,2695,2,3,Customers Needing Attention
12759,53,0.0134,1291,3,3,Potential Loyalists
12762,8,0.1053,1802,5,4,Champions
12763,139,0.0086,412,2,2,Customers Needing Attention
12764,317,1,1009,1,4,Cant Lose Them
12766,4,0.0192,6173,5,4,Champions
12769,239,1,988,1,4,Cant Lose Them
12770,211,1,1404,1,4,Cant Lose Them
12772,60,1,580,3,4,Loyal Customers
12775,18,0.0169,1192,4,3,Potential Loyalists
12778,20,0.0204,685,4,3,Potential Loyalists
12779,38,0.0239,2927,3,4,Loyal Customers
12781,64,0.009,786,3,2,Customers Needing Attention
12782,5,0.0141,1832,5,3,Loyal Customers
12783,3,0.0541,1167,5,4,Champions
12784,16,1,479,4,4,Loyal Customers
12785,365,1,252,1,3,At Risk
12787,10,0.0163,404,5,2,Potential Loyalists
12790,193,1,172,1,3,At Risk
12791,374,1,192,1,3,At Risk
12792,257,1,303,1,3,At Risk
12793,335,0.0526,510,1,3,At Risk
12794,54,0.0435,780,3,3,Potential Loyalists
12795,19,1,201,4,3,Potential Loyalists
12797,366,1,187,1,3,At Risk
12798,11,0.0186,7536,5,4,Champions
12802,187,1,410,1,3,At Risk
12808,37,0.009,456,3,2,Customers Needing Attention
12809,178,1,361,2,3,Customers Needing Attention
12811,262,0.0833,466,1,3,At Risk
12812,45,1,260,3,3,Potential Loyalists
12814,102,1,96,2,3,Customers Needing Attention
12815,148,0.0385,718,2,3,Customers Needing Attention
12816,96,0.0244,367,2,2,Customers Needing Attention
12817,282,1,140,1,3,At Risk
12818,262,1,840,1,4,Cant Lose Them
12820,4,0.0123,918,5,3,Loyal Customers
12821,215,1,88,1,3,At Risk
12822,71,0.1111,954,3,4,Loyal Customers
12823,75,0.0224,1840,2,4,At Risk
12824,60,1,404,3,3,Potential Loyalists
12826,3,0.0192,1442,5,3,Loyal Customers
12827,6,0.075,419,5,3,Loyal Customers
12828,3,0.0465,893,5,4,Champions
12829,337,0.08,62,1,2,Hibernating
12830,38,0.0444,6304,3,4,Loyal Customers
12831,263,1,201,1,3,At Risk
12832,33,0.0299,373,4,2,Potential Loyalists
12833,146,1,335,2,3,Customers Needing Attention
12834,283,1,316,1,3,At Risk
12836,60,0.0158,1803,3,3,Potential Loyalists
12837,174,1,77,2,3,Customers Needing Attention
12838,34,0.0059,604,3,2,Customers Needing Attention
12839,3,0.0383,5368,5,4,Champions
12840,144,0.0476,3057,2,4,At Risk
12841,5,0.0679,3758,5,4,Champions
12842,71,0.0084,1011,3,3,Potential Loyalists
12843,160,0.066,1512,2,4,At Risk
12844,30,0.0196,326,4,2,Potential Loyalists
12845,268,0.1667,264,1,3,At Risk
12847,23,1,753,4,4,Loyal Customers
12849,32,0.0084,850,4,3,Potential Loyalists
12851,97,1,94,2,3,Customers Needing Attention
12852,295,1,245,1,3,At Risk
12853,135,0.033,1648,2,4,At Risk
12854,79,0.0124,1265,2,3,Customers Needing Attention
12855,373,1,42,1,3,At Risk
12856,8,0.1053,2022,5,5,Champions
12857,211,0.0215,830,1,3,At Risk
12863,53,1,196,3,3,Potential Loyalists
12864,139,1,156,2,3,Customers Needing Attention
12865,27,0.0204,1302,4,3,Potential Loyalists
12866,284,1,380,1,3,At Risk
12867,27,0.0209,3431,4,4,Loyal Customers
12868,186,0.0317,1449,1,4,Cant Lose Them
12871,85,0.0161,418,2,2,Customers Needing Attention
12872,327,0.05,553,1,3,At Risk
12873,283,1,360,1,3,At Risk
12875,144,0.0091,0,2,1,About to Sleep
12876,58,0.0143,2418,3,3,Potential Loyalists
12877,4,0.0337,1371,5,4,Champions
12878,237,0.0645,816,1,3,At Risk
12879,45,0.0625,610,3,3,Potential Loyalists
12881,276,1,66,1,3,At Risk
12882,10,0.08,1428,5,4,Champions
12883,25,0.0606,593,4,3,Potential Loyalists
12884,89,1,138,2,3,Customers Needing Attention
12885,64,0.0492,1044,3,4,Loyal Customers
12886,68,0.0131,1146,3,3,Potential Loyalists
12888,215,0.0476,168,1,2,Hibernating
12890,25,1,363,4,3,Potential Loyalists
12891,186,0.0278,0,1,2,Hibernating
12893,31,1,194,4,3,Potential Loyalists
12895,43,0.0444,327,3,3,Potential Loyalists
12897,205,0.0204,182,1,2,Hibernating
12901,9,0.1065,14848,5,5,Champions
12902,265,1,74,1,3,At Risk
12904,19,0.0129,401,4,2,Potential Loyalists
12906,12,0.0735,2858,5,4,Champions
12908,177,0.0146,1200,2,3,Customers Needing Attention
12909,40,0.0233,1269,3,3,Potential Loyalists
12910,24,0.0365,3016,4,4,Loyal Customers
12912,3,0.1282,1724,5,4,Champions
12913,5,0.0137,2330,5,3,Loyal Customers
12915,149,0.0089,225,2,2,Customers Needing Attention
12916,139,0.0219,2569,2,4,At Risk
12917,129,1,600,2,4,At Risk
12919,9,0.037,1319,5,4,Champions
12920,18,1,92,4,3,Potential Loyalists
12921,10,0.1014,16827,5,5,Champions
12922,162,1,424,2,4,At Risk
12923,65,1,161,3,3,Potential Loyalists
12924,89,0.0167,896,2,3,Customers Needing Attention
12925,5,0.0282,607,5,3,Loyal Customers
12928,36,0.0154,2066,3,3,Potential Loyalists
12929,312,1,75,1,3,At Risk
12930,79,0.0213,414,2,3,Customers Needing Attention
12931,22,0.0445,42190,4,4,Loyal Customers
12933,25,0.0115,541,4,2,Potential Loyalists
12935,3,0.022,1922,5,4,Champions
12936,18,0.0645,1033,4,4,Loyal Customers
12937,16,0.0158,1448,4,3,Potential Loyalists
12938,26,1,106,4,3,Potential Loyalists
12939,65,0.0295,10976,3,4,Loyal Customers
12940,55,0.0588,640,3,3,Potential Loyalists
12942,132,0.0128,522,2,2,Customers Needing Attention
12944,36,0.0063,529,3,2,Customers Needing Attention
12945,289,1,326,1,3,At Risk
12947,144,0.026,1265,2,3,Customers Needing Attention
12948,17,0.0281,1956,4,4,Loyal Customers
12949,31,0.0359,3849,4,4,Loyal Customers
12950,3,0.1304,2120,5,5,Champions
12951,9,0.0186,975,5,3,Loyal Customers
12952,6,0.0541,1225,5,4,Champions
12953,10,1,278,5,3,Loyal Customers
12955,2,0.0412,4642,5,4,Champions
12956,307,1,87,1,3,At Risk
12957,10,0.0242,3599,5,4,Champions
12962,8,0.0187,252,5,2,Potential Loyalists
12963,9,0.0223,1728,5,3,Loyal Customers
12965,90,1,656,2,4,At Risk
12966,10,1,138,5,3,Loyal Customers
12967,359,0.1429,1282,1,4,Cant Lose Them
12968,113,1,120,2,3,Customers Needing Attention
12970,8,0.0127,349,5,2,Potential Loyalists
12971,4,0.2324,10123,5,5,Champions
12974,198,1,126,1,3,At Risk
12976,212,1,578,1,4,Cant Lose Them
12977,157,1,6,2,3,Customers Needing Attention
12980,177,0.0383,2256,2,4,At Risk
12981,30,0.019,382,4,2,Potential Loyalists
12982,243,1,300,1,3,At Risk
12984,19,1,102,4,3,Potential Loyalists
12985,1,0.069,1032,5,4,Champions
12987,74,0.016,403,2,2,Customers Needing Attention
12988,293,1,342,1,3,At Risk
12989,4,0.0414,5764,5,4,Champions
12990,32,0.0107,400,4,2,Potential Loyalists
12991,24,0.0222,524,4,3,Potential Loyalists
12993,24,0.0145,437,4,2,Potential Loyalists
12994,5,0.0113,812,5,2,Potential Loyalists
12995,86,1,216,2,3,Customers Needing Attention
12997,23,0.0135,1029,4,3,Potential Loyalists
12999,206,0.0488,324,1,3,At Risk
13000,107,0.0116,508,2,2,Customers Needing Attention
13001,5,0.0402,9822,5,4,Champions
13002,319,1,84,1,3,At Risk
13003,106,0.0273,130,2,2,Customers Needing Attention
13004,12,0.0519,5251,5,4,Champions
13005,174,0.027,329,2,2,Customers Needing Attention
13006,57,1,32,3,3,Potential Loyalists
13008,324,1,183,1,3,At Risk
13011,373,1,52,1,3,At Risk
13012,10,0.028,1463,5,3,Loyal Customers
13013,2,0.035,4448,5,4,Champions
13014,11,0.0331,1859,5,4,Champions
13015,54,0.0254,2787,3,4,Loyal Customers
13016,74,0.0588,778,2,3,Customers Needing Attention
13017,8,1,192,5,3,Loyal Customers
13018,17,0.1,6586,4,5,Champions
13021,5,0.0254,2326,5,4,Champions
13023,65,0.0303,569,3,3,Potential Loyalists
13026,2,0.0182,792,5,3,Loyal Customers
13027,114,0.0248,0,2,2,Customers Needing Attention
13028,23,0.0833,536,4,3,Potential Loyalists
13029,31,0.0183,124,4,2,Potential Loyalists
13030,12,0.0056,575,5,2,Potential Loyalists
13032,53,0.0556,967,3,4,Loyal Customers
13033,358,1,192,1,3,At Risk
13034,55,0.0063,620,3,2,Customers Needing Attention
13035,74,0.0106,940,2,3,Customers Needing Attention
13037,139,0.0252,780,2,3,Customers Needing Attention
13038,81,0.0142,862,2,3,Customers Needing Attention
13040,9,0.0769,648,5,3,Loyal Customers
13043,274,1,346,1,3,At Risk
13044,292,1,342,1,3,At Risk
13045,100,1,288,2,3,Customers Needing Attention
13046,31,0.0084,457,4,2,Potential Loyalists
13047,32,0.0292,2697,4,4,Loyal Customers
13048,15,0.0127,1909,4,3,Potential Loyalists
13049,65,0.0078,648,3,2,Customers Needing Attention
13050,15,0.0482,4817,4,4,Loyal Customers
13052,213,1,332,1,3,At Risk
13055,79,0.0221,1100,2,3,Customers Needing Attention
13058,25,0.0234,255,4,2,Potential Loyalists
13059,250,1,88,1,3,At Risk
13060,254,1,322,1,3,At Risk
13061,73,1,262,2,3,Customers Needing Attention
13062,192,1,76,1,3,At Risk
13064,13,0.0127,891,5,3,Loyal Customers
13065,374,1,147,1,3,At Risk
13066,25,0.2222,344,4,3,Potential Loyalists
13067,83,1,119,2,3,Customers Needing Attention
13068,11,0.0065,400,5,2,Potential Loyalists
13069,1,0.0649,3403,5,4,Champions
13070,193,1,220,1,3,At Risk
13072,267,1,165,1,3,At Risk
13075,130,1,923,2,4,At Risk
13077,2,0.0109,552,5,2,Potential Loyalists
13078,4,0.0714,11694,5,4,Champions
13079,5,0.0365,216,5,3,Loyal Customers
13080,180,1,48,1,3,At Risk
13081,12,0.0305,26039,5,4,Champions
13082,127,0.0376,3796,2,4,At Risk
13083,5,0.0278,192,5,2,Potential Loyalists
13085,158,0.0144,364,2,2,Customers Needing Attention
13089,3,0.2473,51146,5,5,Champions
13090,9,0.0356,4933,5,4,Champions
13091,29,1,284,4,3,Potential Loyalists
13092,71,0.0172,264,3,2,Customers Needing Attention
13093,276,0.0808,6858,1,4,Cant Lose Them
13094,22,0.0345,1788,4,4,Loyal Customers
13095,71,1,24,3,3,Potential Loyalists
13097,33,0.0304,4252,4,4,Loyal Customers
13098,2,0.0883,26248,5,4,Champions
13099,100,1,288,2,3,Customers Needing Attention
13101,235,1,75,1,3,At Risk
13102,2,0.0658,5963,5,4,Champions
13103,40,1,146,3,3,Potential Loyalists
13104,4,0.017,1044,5,3,Loyal Customers
13106,134,1,72,2,3,Customers Needing Attention
13107,45,0.0138,1394,3,3,Potential Loyalists
13108,373,1,250,1,3,At Risk
13109,60,0.0202,741,3,3,Potential Loyalists
13110,32,0.0249,1255,4,3,Potential Loyalists
13113,1,0.0654,7047,5,4,Champions
13115,12,0.023,2232,5,4,Champions
13116,139,1,306,2,3,Customers Needing Attention
13117,22,0.0227,754,4,3,Potential Loyalists
13118,20,0.0185,1092,4,3,Potential Loyalists
13120,239,1,36,1,3,At Risk
13121,270,1,289,1,3,At Risk
13122,95,0.0136,815,2,2,Customers Needing Attention
13124,90,0.0111,3194,2,3,Customers Needing Attention
13126,5,0.022,1518,5,3,Loyal Customers
13127,78,1,259,2,3,Customers Needing Attention
13130,95,1,56,2,3,Customers Needing Attention
13131,24,0.0182,730,4,3,Potential Loyalists
13132,262,1,66,1,3,At Risk
13133,274,0.0625,76,1,2,Hibernating
13134,86,0.0256,1472,2,3,Customers Needing Attention
13135,197,1,4300,1,5,Cant Lose Them
13136,57,0.0318,2467,3,4,Loyal Customers
13137,11,0.0268,3718,5,4,Champions
13138,23,0.0171,956,4,3,Potential Loyalists
13139,17,0.0287,4911,4,4,Loyal Customers
13140,109,0.0116,390,2,2,Customers Needing Attention
13141,85,0.0216,2235,2,4,At Risk
13142,20,1,207,4,3,Potential Loyalists
13144,333,1,48,1,3,At Risk
13145,40,0.0337,300,3,3,Potential Loyalists
13146,27,1,142,4,3,Potential Loyalists
13147,11,0.0444,720,5,3,Loyal Customers
13148,30,0.0327,2960,4,4,Loyal Customers
13149,15,0.0145,1382,4,3,Potential Loyalists
13151,296,1,860,1,4,Cant Lose Them
13153,6,1,434,5,4,Champions
13155,34,0.0119,848,3,3,Potential Loyalists
13157,50,0.016,1680,3,3,Potential Loyalists
